key	name	hemi	roi	color	origin_name	rs_network
54	6d_r	r	6d	33 160 42	R_6d_ROI	2
55	6mp_r	r	6mp	74 159 51	R_6mp_ROI	2
56	6v_r	r	6v	91 185 70	R_6v_ROI	3
57	p24pr_r	r	p24pr	156 146 120	R_p24pr_ROI	4
58	33pr_r	r	33pr	119 94 97	R_33pr_ROI	6
59	a24pr_r	r	a24pr	179 126 132	R_a24pr_ROI	6
60	p32pr_r	r	p32pr	179 147 133	R_p32pr_ROI	4
61	a24_r	r	a24	74 15 37	R_a24_ROI	7
62	d32_r	r	d32	116 42 66	R_d32_ROI	6
63	8BM_r	r	8BM	134 79 92	R_8BM_ROI	6
64	p32_r	r	p32	117 51 81	R_p32_ROI	7
65	10r_r	r	10r	30 4 11	R_10r_ROI	7
66	47m_r	r	47m	87 51 56	R_47m_ROI	7
67	8Av_r	r	8Av	82 65 66	R_8Av_ROI	6
68	8Ad_r	r	8Ad	63 64 50	R_8Ad_ROI	7
69	9m_r	r	9m	51 25 24	R_9m_ROI	7
70	8BL_r	r	8BL	39 34 25	R_8BL_ROI	7
71	9p_r	r	9p	67 50 51	R_9p_ROI	7
72	10d_r	r	10d	34 22 23	R_10d_ROI	7
73	8C_r	r	8C	124 86 95	R_8C_ROI	6
74	44_r	r	44	139 97 92	R_44_ROI	7
75	45_r	r	45	94 67 60	R_45_ROI	7
76	47l_r	r	47l	57 25 30	R_47l_ROI	7
77	a47r_r	r	a47r	86 66 70	R_a47r_ROI	6
78	6r_r	r	6r	191 211 161	R_6r_ROI	3
79	IFJa_r	r	IFJa	145 124 104	R_IFJa_ROI	3
80	IFJp_r	r	IFJp	128 149 134	R_IFJp_ROI	3
81	IFSp_r	r	IFSp	128 107 111	R_IFSp_ROI	6
82	IFSa_r	r	IFSa	213 210 194	R_IFSa_ROI	6
83	p9-46v_r	r	p9-46v	148 132 130	R_p9-46v_ROI	6
84	46_r	r	46	197 208 190	R_46_ROI	6
85	a9-46v_r	r	a9-46v	179 126 151	R_a9-46v_ROI	6
86	9-46d_r	r	9-46d	165 131 150	R_9-46d_ROI	6
87	9a_r	r	9a	67 52 55	R_9a_ROI	7
88	10v_r	r	10v	0 15 4	R_10v_ROI	5
89	a10p_r	r	a10p	110 89 114	R_a10p_ROI	6
90	10pp_r	r	10pp	49 50 56	R_10pp_ROI	5
91	11l_r	r	11l	111 95 109	R_11l_ROI	6
92	13l_r	r	13l	105 86 93	R_13l_ROI	5
93	OFC_r	r	OFC	46 37 39	R_OFC_ROI	5
94	47s_r	r	47s	70 36 41	R_47s_ROI	7
95	LIPd_r	r	LIPd	143 178 195	R_LIPd_ROI	3
96	6a_r	r	6a	122 196 141	R_6a_ROI	3
97	i6-8_r	r	i6-8	111 118 107	R_i6-8_ROI	7
98	s6-8_r	r	s6-8	106 91 85	R_s6-8_ROI	7
99	43_r	r	43	164 142 70	R_43_ROI	2
100	OP4_r	r	OP4	118 161 48	R_OP4_ROI	2
101	OP1_r	r	OP1	97 151 37	R_OP1_ROI	2
102	OP2-3_r	r	OP2-3	153 126 62	R_OP2-3_ROI	2
103	52_r	r	52	210 69 64	R_52_ROI	2
104	RI_r	r	RI	174 85 46	R_RI_ROI	2
105	PFcm_r	r	PFcm	185 151 90	R_PFcm_ROI	4
106	PoI2_r	r	PoI2	128 125 87	R_PoI2_ROI	4
